Date,Flat_10YR_Yield,Upward_10YR_Yield,Downward_10YR_Yield,Flat_Inflation,Upward_Inflation,Downward_Inflation,NTNB_Change_Flat,NTNB_Change_Upward,NTNB_Change_Downward,NTNB_Flat_Scenario,NTNB_Upward_Scenario,NTNB_Downward_Scenario
2024-07-01,11.4,11.484833333333334,11.315,4.4,4.431666666666667,4.383333333333334,0.0,0.03647833333333361,-0.03655000000000037,5.973333333333333,6.009811666666666,5.936783333333333
2024-08-01,11.4,11.569666666666667,11.23,4.4,4.463333333333334,4.366666666666667,0.0,0.07295666666666646,-0.07309999999999997,5.973333333333333,6.046289999999999,5.9002333333333326
2024-09-01,11.4,11.6545,11.145,4.4,4.495,4.3500000000000005,0.0,0.10943500000000007,-0.10965000000000033,5.973333333333333,6.082768333333333,5.8636833333333325
2024-10-01,11.4,11.739333333333333,11.06,4.4,4.526666666666667,4.333333333333334,0.0,0.14591333333333292,-0.14619999999999994,5.973333333333333,6.119246666666665,5.827133333333332
2024-11-01,11.4,11.824166666666667,10.975,4.4,4.558333333333334,4.316666666666667,0.0,0.18239166666666654,-0.1827500000000003,5.973333333333333,6.1557249999999994,5.790583333333332
2024-12-01,11.4,11.909,10.89,4.4,4.59,4.300000000000001,0.0,0.21887000000000015,-0.2192999999999999,5.973333333333333,6.192203333333333,5.754033333333333
2025-01-01,11.4,11.993833333333333,10.805,4.4,4.621666666666667,4.283333333333333,0.0,0.255348333333333,-0.25585000000000024,5.973333333333333,6.228681666666666,5.717483333333332
2025-02-01,11.4,12.078666666666667,10.72,4.4,4.653333333333333,4.266666666666667,0.0,0.2918266666666666,-0.2923999999999999,5.973333333333333,6.265159999999999,5.680933333333333
2025-03-01,11.4,12.1635,10.635,4.4,4.6850000000000005,4.25,0.0,0.32830500000000024,-0.32895000000000024,5.973333333333333,6.301638333333333,5.644383333333333
2025-04-01,11.4,12.248333333333333,10.55,4.4,4.716666666666667,4.233333333333333,0.0,0.36478333333333307,-0.3654999999999998,5.973333333333333,6.338116666666666,5.607833333333333
2025-05-01,11.4,12.333166666666667,10.465,4.4,4.748333333333334,4.216666666666667,0.0,0.4012616666666667,-0.4020500000000002,5.973333333333333,6.374594999999999,5.571283333333333
2025-06-01,11.4,12.418,10.38,4.4,4.78,4.2,0.0,0.4377399999999995,-0.4385999999999998,5.973333333333333,6.4110733333333325,5.534733333333333
2025-07-01,11.4,12.502833333333333,10.295,4.4,4.8116666666666665,4.183333333333334,0.0,0.47421833333333313,-0.4751500000000002,5.973333333333333,6.447551666666666,5.4981833333333325
2025-08-01,11.4,12.587666666666667,10.21,4.4,4.843333333333334,4.166666666666667,0.0,0.5106966666666668,-0.5116999999999998,5.973333333333333,6.48403,5.461633333333333
2025-09-01,11.4,12.6725,10.125,4.4,4.875,4.15,0.0,0.5471749999999996,-0.5482500000000001,5.973333333333333,6.520508333333332,5.425083333333332
2025-10-01,11.4,12.757333333333333,10.040000000000001,4.4,4.906666666666667,4.133333333333334,0.0,0.5836533333333332,-0.5847999999999998,5.973333333333333,6.556986666666666,5.388533333333333
2025-11-01,11.4,12.842166666666667,9.955,4.4,4.9383333333333335,4.116666666666667,0.0,0.6201316666666669,-0.6213500000000001,5.973333333333333,6.593464999999999,5.351983333333333
2025-12-01,11.4,12.927,9.870000000000001,4.4,4.970000000000001,4.1000000000000005,0.0,0.6566099999999997,-0.6578999999999997,5.973333333333333,6.629943333333332,5.315433333333333
2026-01-01,11.4,13.011833333333334,9.785,4.4,5.001666666666667,4.083333333333334,0.0,0.6930883333333333,-0.6944500000000001,5.973333333333333,6.6664216666666665,5.278883333333333
2026-02-01,11.4,13.096666666666666,9.7,4.4,5.033333333333333,4.066666666666666,0.0,0.7295666666666661,-0.7310000000000004,5.973333333333333,6.702899999999999,5.242333333333332
2026-03-01,11.4,13.1815,9.615,4.4,5.065,4.05,0.0,0.7660449999999998,-0.7675500000000001,5.973333333333333,6.739378333333333,5.205783333333333
2026-04-01,11.4,13.266333333333334,9.530000000000001,4.4,5.096666666666667,4.033333333333333,0.0,0.8025233333333334,-0.8040999999999997,5.973333333333333,6.775856666666666,5.169233333333333
2026-05-01,11.4,13.351166666666666,9.445,4.4,5.128333333333334,4.016666666666667,0.0,0.8390016666666662,-0.84065,5.973333333333333,6.812334999999999,5.132683333333333
2026-06-01,11.4,13.436,9.36,4.4,5.16,4.0,0.0,0.8754799999999998,-0.8772000000000004,5.973333333333333,6.848813333333332,5.0961333333333325
2026-07-01,11.4,13.520833333333332,9.275,4.4,5.191666666666666,3.9833333333333334,0.0,0.9119583333333326,-0.91375,5.973333333333333,6.8852916666666655,5.059583333333332
2026-08-01,11.4,13.605666666666666,9.190000000000001,4.4,5.223333333333334,3.966666666666667,0.0,0.9484366666666663,-0.9502999999999996,5.973333333333333,6.921769999999999,5.023033333333333
2026-09-01,11.4,13.6905,9.105,4.4,5.255,3.95,0.0,0.9849149999999999,-0.98685,5.973333333333333,6.958248333333333,4.986483333333332
2026-10-01,11.4,13.775333333333332,9.02,4.4,5.286666666666667,3.9333333333333336,0.0,1.0213933333333327,-1.0234000000000003,5.973333333333333,6.994726666666665,4.949933333333332
2026-11-01,11.4,13.860166666666666,8.935,4.4,5.318333333333333,3.916666666666667,0.0,1.0578716666666663,-1.05995,5.973333333333333,7.031204999999999,4.913383333333333
2026-12-01,11.4,13.945,8.85,4.4,5.35,3.9000000000000004,0.0,1.09435,-1.0965000000000003,5.973333333333333,7.067683333333333,4.876833333333332
