date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca,alpha,ntnb_5yr_yield_ma,est_bndes_tlp,obs_tlp_ipca,bndes_rate,us_treasury_yield,cds_brazil,solar_capacity_ratio,technology_premium,pre_tax_cost_of_debt,cost_of_debt,erp_sp500,cost_of_equity,debt_share,cost_of_capital,selic_target_rate,10yr_bloomberg_yield,yr10_gov_bond_yield,brl_5yr_bloomberg
01 August 2021,,3.03,4.45,9.68,0.83,3.706666667,3.076533333,12.02,12.02,1.309,10.711,5.9744276,2.746648824,14.76664882,9.745988224,3.91,18.67664882,0.7,12.4251864,5.25,3.78,10.55,4.45
01 September 2021,,3.28,4.68,10.25,0.83,4.043333333,3.355966667,12.96,12.96,1.487,11.473,6.3358179,2.652687346,15.61268735,10.30437365,4.21,19.82268735,0.7,13.15986776,6.25,4.24,11.17,4.68
01 October 2021,,3.54,5.38,10.67,0.83,4.35,3.6105,13.79,13.79,1.552,12.238,6.5312441,2.601876534,16.39187653,10.81863851,4.87,21.26187653,0.7,13.95160992,7.75,4.73,12.25,5.38
01 November 2021,,3.83,5.15,10.74,0.83,4.836666667,4.014433333,14.5,14.5,1.444,13.056,7.0368228,2.470426072,16.97042607,11.20048121,4.58,21.55042607,0.7,14.30546467,7.75,4.76,11.41,5.15
01 December 2021,,4.1,5.12,10.06,0.83,5.07,4.2081,14.84,14.84,1.51,13.33,7.3166583,2.397668842,17.23766884,11.37686144,4.79,22.02766884,0.7,14.57210366,9.25,4.47,10.31,5.12
01 January 2022,,4.63,5.43,10.38,0.91,5.216666667,4.747166667,14.69,14.69,1.777,12.913,7.5821302,2.328646148,17.01864615,11.23230646,4.24,21.25864615,0.7,14.24020836,9.25,4.86,11.08,5.43
01 February 2022,,4.75,5.38,10.54,0.91,5.233333333,4.762333333,15.13,15.13,1.825,13.305,7.7890077,2.274857998,17.404858,11.48720628,4.56,21.964858,0.7,14.63050179,10.75,4.94,11.32,5.38
01 March 2022,,4.77,5.46,11.3,0.91,5.31,4.8321,15.31,15.31,2.338,12.972,8.0728869,2.201049406,17.51104941,11.55729261,4.75,22.26104941,0.7,14.76841965,11.75,5,11.25,5.46
01 April 2022,,4.94,5.53,12.13,0.91,5.423333333,4.935233333,16.24,16.24,2.934,13.306,8.4330452,2.107408248,18.34740825,12.10928944,4.73,23.07740825,0.7,15.39972508,11.75,5.62,12.25,5.53
01 May 2022,,4.95,5.61,11.73,0.91,5.456666667,4.965566667,17.08,17.08,2.844,14.236,8.7705788,2.019649512,19.09964951,12.60576868,5.14,24.23964951,0.7,16.09593293,12.75,5.44,12.55,5.61
