date_x,name_auction,seller_name,power_plant_name,capex,nominal_capacity_mw,physical_guarantee_mwave,energy_contracted,sale_price_auction,financial_amount_negotiated,supply_start_date,supply_end_date,auction_ipca,year,month,capacity_factor,exp_energy_prod,opex_yearly,opex_inflated,opex_baseline,capex_baseline,lcoe_baseline,cost_of_capital,discounted_opex,discounted_energy,capex_wacc,opex_wacc,lcoe_wacc,brl_usd,capex_mw,capex_mw_usd,date_y,cpi,capex_mw_usd_2022,lcoe_baseline_usd,lcoe_wacc_usd,lcoe_baseline_usd_2022,lcoe_wacc_usd_2022
2014-10-31,06ºLER,RIO ENERGY EOL IV,SOLAR CAETITÉ 3,140007000,29.97,6.6,1157112.0,207.52,240123882.2,01/10/2017,30/09/2037,3991.24,2014,10,0.22022022022022023,57816.0,2028701.43,"[2099705.98005, 2173195.6893517496, 2249257.538479061, 2327981.5523258275, 2409460.9066572315, 2493792.038390234, 2581074.759733892, 2671412.376324578, 2764911.8094959385, 2861683.7228282955, 2961842.653127286, 3065507.145986741, 3172799.8960962766, 3283847.892459646, 3398782.5686957333, 3517739.958600084, 3640860.8571510864, 3768290.987151374, 3900181.171701672, 4036687.51271123, 4177971.575656123, 4324200.580804086, 4475547.60113223, 4632191.767171857, 4794318.479022872]",56.58174001736897,96.86384391863844,153.4455839360074,8.738335674,28417861.819017302,580156.0539934873,241.3264483517252,48.98313414710366,290.30958249882883,2.354053968,4671571.571571572,1984479.3853815214,2014-10-01,237.433,2480647.290574939,65.18354550145445,123.32324850881618,81.48101045008562,154.15704719929883
2014-10-31,06ºLER,RIO ENERGY EOL IV,SOLAR CAETITÉ 2,140007000,29.97,6.6,1157112.0,207.52,240123882.2,01/10/2017,30/09/2037,3991.24,2014,10,0.22022022022022023,57816.0,2028701.43,"[2099705.98005, 2173195.6893517496, 2249257.538479061, 2327981.5523258275, 2409460.9066572315, 2493792.038390234, 2581074.759733892, 2671412.376324578, 2764911.8094959385, 2861683.7228282955, 2961842.653127286, 3065507.145986741, 3172799.8960962766, 3283847.892459646, 3398782.5686957333, 3517739.958600084, 3640860.8571510864, 3768290.987151374, 3900181.171701672, 4036687.51271123, 4177971.575656123, 4324200.580804086, 4475547.60113223, 4632191.767171857, 4794318.479022872]",56.58174001736897,96.86384391863844,153.4455839360074,8.738335674,28417861.819017302,580156.0539934873,241.3264483517252,48.98313414710366,290.30958249882883,2.354053968,4671571.571571572,1984479.3853815214,2014-10-01,237.433,2480647.290574939,65.18354550145445,123.32324850881618,81.48101045008562,154.15704719929883
2014-10-31,06ºLER,RIO ENERGY EOL IV,SOLAR CAETITÉ 1,140007000,29.97,6.6,1157112.0,207.52,240123882.2,01/10/2017,30/09/2037,3991.24,2014,10,0.22022022022022023,57816.0,2028701.43,"[2099705.98005, 2173195.6893517496, 2249257.538479061, 2327981.5523258275, 2409460.9066572315, 2493792.038390234, 2581074.759733892, 2671412.376324578, 2764911.8094959385, 2861683.7228282955, 2961842.653127286, 3065507.145986741, 3172799.8960962766, 3283847.892459646, 3398782.5686957333, 3517739.958600084, 3640860.8571510864, 3768290.987151374, 3900181.171701672, 4036687.51271123, 4177971.575656123, 4324200.580804086, 4475547.60113223, 4632191.767171857, 4794318.479022872]",56.58174001736897,96.86384391863844,153.4455839360074,8.738335674,28417861.819017302,580156.0539934873,241.3264483517252,48.98313414710366,290.30958249882883,2.354053968,4671571.571571572,1984479.3853815214,2014-10-01,237.433,2480647.290574939,65.18354550145445,123.32324850881618,81.48101045008562,154.15704719929883
2014-10-31,06ºLER,DRACENAS,DRACENA 4,128320000,30.0,5.9,1034388.0,217.75,225237987.0,01/10/2017,30/09/2037,3991.24,2014,10,0.19666666666666668,51684.0,1859356.8,"[1924434.288, 1991789.4880799998, 2061502.1201627995, 2133654.6943684975, 2208332.6086713946, 2285624.249974893, 2365621.098724014, 2448417.8371793544, 2534112.461480632, 2622806.3976324536, 2714604.6215495896, 2809615.783303825, 2907952.3357194588, 3009730.6674696393, 3115071.2408310766, 3224098.734260164, 3336942.1899592695, 3453735.1666078432, 3574615.897439118, 3699727.4538494865, 3829217.9147342183, 3963240.5417499156, 4101953.9607111625, 4245522.349336053, 4394115.631562814]",58.01133018602095,99.31119882362046,157.3225290096414,8.738335674,26045697.91950617,518624.35129720834,247.4237850171127,50.22073848703673,297.64452350414945,2.354053968,4277333.333333333,1817007.3377575737,2014-10-01,237.433,2271303.175314445,66.8304682680246,126.43912482474974,83.53970379241682,158.0519680525085
2014-10-31,06ºLER,DRACENAS,DRACENA 1,128320000,30.0,5.9,1034388.0,217.75,225237987.0,01/10/2017,30/09/2037,3991.24,2014,10,0.19666666666666668,51684.0,1859356.8,"[1924434.288, 1991789.4880799998, 2061502.1201627995, 2133654.6943684975, 2208332.6086713946, 2285624.249974893, 2365621.098724014, 2448417.8371793544, 2534112.461480632, 2622806.3976324536, 2714604.6215495896, 2809615.783303825, 2907952.3357194588, 3009730.6674696393, 3115071.2408310766, 3224098.734260164, 3336942.1899592695, 3453735.1666078432, 3574615.897439118, 3699727.4538494865, 3829217.9147342183, 3963240.5417499156, 4101953.9607111625, 4245522.349336053, 4394115.631562814]",58.01133018602095,99.31119882362046,157.3225290096414,8.738335674,26045697.91950617,518624.35129720834,247.4237850171127,50.22073848703673,297.64452350414945,2.354053968,4277333.333333333,1817007.3377575737,2014-10-01,237.433,2271303.175314445,66.8304682680246,126.43912482474974,83.53970379241682,158.0519680525085
2014-10-31,06ºLER,DRACENAS,DRACENA 2,128320000,30.0,5.9,1034388.0,217.75,225237987.0,01/10/2017,30/09/2037,3991.24,2014,10,0.19666666666666668,51684.0,1859356.8,"[1924434.288, 1991789.4880799998, 2061502.1201627995, 2133654.6943684975, 2208332.6086713946, 2285624.249974893, 2365621.098724014, 2448417.8371793544, 2534112.461480632, 2622806.3976324536, 2714604.6215495896, 2809615.783303825, 2907952.3357194588, 3009730.6674696393, 3115071.2408310766, 3224098.734260164, 3336942.1899592695, 3453735.1666078432, 3574615.897439118, 3699727.4538494865, 3829217.9147342183, 3963240.5417499156, 4101953.9607111625, 4245522.349336053, 4394115.631562814]",58.01133018602095,99.31119882362046,157.3225290096414,8.738335674,26045697.91950617,518624.35129720834,247.4237850171127,50.22073848703673,297.64452350414945,2.354053968,4277333.333333333,1817007.3377575737,2014-10-01,237.433,2271303.175314445,66.8304682680246,126.43912482474974,83.53970379241682,158.0519680525085
2014-10-31,06ºLER,DRACENAS,DRACENA 3,128265000,30.0,5.9,1034388.0,217.75,225237987.0,01/10/2017,30/09/2037,3991.24,2014,10,0.19666666666666668,51684.0,1858559.85,"[1923609.44475, 1990935.7753162498, 2060618.5274523185, 2132740.1759131495, 2207386.0820701094, 2284644.5949425627, 2364607.1557655525, 2447368.406217347, 2533026.300434954, 2621682.2209501765, 2713441.098683433, 2808411.537137353, 2906705.94093716, 3008440.64886996, 3113736.0715804086, 3222716.834085723, 3335511.9232787224, 3452254.8405934777, 3573083.7600142495, 3698141.6916147475, 3827576.6508212634, 3961541.833600007, 4100195.7977760076, 4243702.650698167, 4392232.243472603]",57.9864656040366,99.26863245878802,157.25509806282463,8.738335674,26034534.317685936,518624.35129720834,247.31773523394605,50.199213076993196,297.51694831093926,2.354053968,4275500.0,1816228.5394129928,2014-10-01,237.433,2270329.6585232806,66.801823662704,126.38493099786879,83.50389734206938,157.984224456476
2014-10-31,06ºLER,COREMAS I,COREMAS I,125372000,30.0,6.9,1174644.0,219.78,258163258.3,01/10/2017,30/09/2037,3991.24,2014,10,0.23,60444.0,1816640.28,"[1880222.6897999998, 1946030.4839429997, 2014141.5508810047, 2084636.5051618395, 2157598.782842504, 2233114.740241991, 2311273.756150461, 2392168.3376157265, 2475894.229432277, 2562550.527462406, 2652239.7959235907, 2745068.188780916, 2841145.575388248, 2940585.670526836, 3043506.1689952756, 3150028.88491011, 3260279.895881963, 3374389.6922378317, 3492493.3314661556, 3614730.598067471, 3741246.168999832, 3872189.7849148256, 4007716.427386844, 4147986.5023453836, 4293166.029927472]",48.4643003899702,82.96737476010853,131.43167515007872,8.738335674,25447328.861941457,606526.783720464,206.70480408294952,41.955820492948945,248.66062457589845,2.354053968,4179066.6666666665,1775263.7464880187,2014-10-01,237.433,2219122.6753080008,55.832056926775905,105.63080879031845,69.79142326338929,132.0410690870273
2014-10-31,06ºLER,SOLATIO,VAZANTE 2,128320000,30.0,6.0,1051920.0,216.12,227340950.4,01/10/2017,30/09/2037,3991.24,2014,10,0.2,52560.0,1859356.8,"[1924434.288, 1991789.4880799998, 2061502.1201627995, 2133654.6943684975, 2208332.6086713946, 2285624.249974893, 2365621.098724014, 2448417.8371793544, 2534112.461480632, 2622806.3976324536, 2714604.6215495896, 2809615.783303825, 2907952.3357194588, 3009730.6674696393, 3115071.2408310766, 3224098.734260164, 3336942.1899592695, 3453735.1666078432, 3574615.897439118, 3699727.4538494865, 3829217.9147342183, 3963240.5417499156, 4101953.9607111625, 4245522.349336053, 4394115.631562814]",57.0444746829206,97.65601217656013,154.70048685948072,8.738335674,26045697.91950617,527414.594539534,243.30005526682746,49.38372617891945,292.6837814457469,2.354053968,4277333.333333333,1817007.3377575737,2014-10-01,237.433,2271303.175314445,65.7166271302242,124.33180607767055,82.14737539587654,155.41776858496667
2014-10-31,06ºLER,SOLATIO,VAZANTE 3,128320000,30.0,6.0,1051920.0,216.12,227340950.4,01/10/2017,30/09/2037,3991.24,2014,10,0.2,52560.0,1859356.8,"[1924434.288, 1991789.4880799998, 2061502.1201627995, 2133654.6943684975, 2208332.6086713946, 2285624.249974893, 2365621.098724014, 2448417.8371793544, 2534112.461480632, 2622806.3976324536, 2714604.6215495896, 2809615.783303825, 2907952.3357194588, 3009730.6674696393, 3115071.2408310766, 3224098.734260164, 3336942.1899592695, 3453735.1666078432, 3574615.897439118, 3699727.4538494865, 3829217.9147342183, 3963240.5417499156, 4101953.9607111625, 4245522.349336053, 4394115.631562814]",57.0444746829206,97.65601217656013,154.70048685948072,8.738335674,26045697.91950617,527414.594539534,243.30005526682746,49.38372617891945,292.6837814457469,2.354053968,4277333.333333333,1817007.3377575737,2014-10-01,237.433,2271303.175314445,65.7166271302242,124.33180607767055,82.14737539587654,155.41776858496667
