date,power_plant_name,sale_price_auction,lcoe_wacc,cost_of_capital,capex_current,capex_required_to_match_auction,capex_reduction_pct_required,capex_status
2014-10-31,DRACENA 4,217.75,297.64452350414945,8.738335674,128320000.0,86884754.57546096,32.29055909019564,solvable_with_capex_reduction
2014-10-31,DRACENA 1,217.75,297.64452350414945,8.738335674,128320000.0,86884754.57546096,32.29055909019564,solvable_with_capex_reduction
2014-10-31,DRACENA 2,217.75,297.64452350414945,8.738335674,128320000.0,86884754.57546096,32.29055909019564,solvable_with_capex_reduction
2014-10-31,COREMAS I,219.78,248.66062457589845,8.738335674,125372000.0,107855127.66414212,13.97191744237779,solvable_with_capex_reduction
2014-10-31,VAZANTE 2,216.12,292.6837814457469,8.738335674,128320000.0,87939144.2523779,31.468871374393782,solvable_with_capex_reduction
2014-10-31,VAZANTE 3,216.12,292.6837814457469,8.738335674,128320000.0,87939144.2523779,31.468871374393782,solvable_with_capex_reduction
2014-10-31,VAZANTE 1,216.12,292.6837814457469,8.738335674,128320000.0,87939144.2523779,31.468871374393782,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 2,214.84,255.19246966588003,8.738335674,156636000.0,126840526.00150144,19.02211113568947,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 1,214.83,255.19246966588003,8.738335674,156636000.0,126833142.1971779,19.0268251250173,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 3,214.85,255.19246966588003,8.738335674,156636000.0,126847909.805825,19.01739714636163,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 4,214.86,255.19246966588003,8.738335674,156636000.0,126855293.61014858,19.012683157033774,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 5,214.87,255.19246966588003,8.738335674,156636000.0,126862677.41447213,19.007969167705934,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 6,214.88,255.19246966588003,8.738335674,156636000.0,126870061.21879567,19.003255178378105,solvable_with_capex_reduction
2014-10-31,ITUVERAVA 7,214.89,255.19246966588003,8.738335674,156636000.0,126877445.02311923,18.998541189050265,solvable_with_capex_reduction
2014-10-31,FCR III ITAPURANGA,220.0,402.272934234582,8.738335674,52910000.0,24069978.288541038,54.507695542352984,solvable_with_capex_reduction
2014-10-31,GUAIMBE 3,220.8,296.4801099224857,8.738335674,127818000.0,88568452.08534943,30.707371351961832,solvable_with_capex_reduction
2014-10-31,GUAIMBE 2,215.95,296.4801099224857,8.738335674,127818000.0,86053123.98155795,32.6752695382826,solvable_with_capex_reduction
2014-10-31,GUAIMBE 1,215.95,296.4801099224857,8.738335674,127818000.0,86053123.98155795,32.6752695382826,solvable_with_capex_reduction
2014-10-31,GUAIMBE 5,220.8,295.06054595440173,8.738335674,127206000.0,88692672.52742188,30.276345040782765,solvable_with_capex_reduction
2014-10-31,GUAIMBE 4,220.8,295.81903846676033,8.738335674,127533000.0,88626299.84023611,30.50716297724031,solvable_with_capex_reduction
2015-08-28,NOVA OLINDA 12,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,SÃO PEDRO II,305.51,228.52429658823075,10.12019036,122224000.0,170746973.73140994,-39.7000374160639,no_reduction_needed_or_capex_too_low_already
2015-08-28,VERDE VALE III,302.92,268.24881033869667,10.12019036,66355000.0,76461896.24384429,-15.231551870762242,no_reduction_needed_or_capex_too_low_already
2015-08-28,BJL 11,303.5,237.77116922541128,10.12019036,79481000.0,105373456.22668497,-32.57691300648579,no_reduction_needed_or_capex_too_low_already
2015-08-28,HORIZONTE MP 11,301.83,276.52288809756294,10.12019036,112770380.0,124932793.3719022,-10.785113406465596,no_reduction_needed_or_capex_too_low_already
2015-08-28,MALTA,296.0,270.70823870921294,10.12019036,121258000.0,134608613.2894222,-11.01008864522111,no_reduction_needed_or_capex_too_low_already
2015-08-28,COREMAS II,301.88,310.084714333708,10.12019036,143042000.0,138581742.8823309,3.118145102605602,solvable_with_capex_reduction
2015-08-28,ANGICO 1,296.0,270.70823870921294,10.12019036,121258000.0,134608613.2894222,-11.01008864522111,no_reduction_needed_or_capex_too_low_already
2015-08-28,SÃO PEDRO IV,305.51,228.52429658823075,10.12019036,122224000.0,170746973.73140994,-39.7000374160639,no_reduction_needed_or_capex_too_low_already
2015-08-28,SOL MAIOR 2,297.0,256.51271433265697,10.12019036,20579000.0,24406782.455369968,-18.600429833179298,no_reduction_needed_or_capex_too_low_already
2015-08-28,ASSURUÁ,298.5,215.04297367873386,10.12019036,126515010.0,184376940.30739045,-45.73522960429,no_reduction_needed_or_capex_too_low_already
2015-08-28,HORIZONTE MP 1,301.83,254.72955164631358,10.12019036,156675570.0,190815309.90568602,-21.790085018159512,no_reduction_needed_or_capex_too_low_already
2015-08-28,HORIZONTE MP 2,301.83,254.72955164631358,10.12019036,156675570.0,190815309.90568602,-21.790085018159512,no_reduction_needed_or_capex_too_low_already
2015-08-28,NOVA OLINDA 8,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,NOVA OLINDA 14,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,NOVA OLINDA 13,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,NOVA OLINDA 10,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,NOVA OLINDA 11,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,NOVA OLINDA 9,302.83,353.79712358746536,10.12019036,208147450.0,172811226.28129542,16.976534528145592,solvable_with_capex_reduction
2015-08-28,LAPA 2,303.83,266.8336556552449,10.12019036,155200810.0,180559417.69858453,-16.33922380855134,no_reduction_needed_or_capex_too_low_already
2015-08-28,SOBRAL 1,302.5,242.61258568882795,10.12019036,126515010.0,163317525.53359652,-29.089446014031473,no_reduction_needed_or_capex_too_low_already
2015-08-28,BOM JESUS DA LAPA I,304.83,294.8810888595725,10.12019036,165600000.0,172184187.312131,-3.975958521818229,no_reduction_needed_or_capex_too_low_already
2015-08-28,PIRAPORA 5,302.0,228.22122435801396,10.12019036,128165000.0,176991778.29059893,-38.096811368625545,no_reduction_needed_or_capex_too_low_already
2015-08-28,PIRAPORA 6,296.45,228.22656640672517,10.12019036,128168000.0,173318254.08454388,-35.2274000409961,no_reduction_needed_or_capex_too_low_already
2015-08-28,PIRAPORA 7,299.0,228.22656640672517,10.12019036,128168000.0,175005843.55126545,-36.54410114167768,no_reduction_needed_or_capex_too_low_already
2015-08-28,PIRAPORA 9,299.0,228.22656640672517,10.12019036,128168000.0,175005843.55126545,-36.54410114167768,no_reduction_needed_or_capex_too_low_already
2015-08-28,PIRAPORA 10,296.45,228.22656640672517,10.12019036,128168000.0,173318254.08454388,-35.2274000409961,no_reduction_needed_or_capex_too_low_already
2015-08-28,BOM JESUS DA LAPA II,304.83,294.8810888595725,10.12019036,165600000.0,172184187.312131,-3.975958521818229,no_reduction_needed_or_capex_too_low_already
2015-08-28,SERTAO 1,304.5,242.26163510279878,10.12019036,126332000.0,164579241.3821946,-30.275180779370714,no_reduction_needed_or_capex_too_low_already
2015-08-28,LAPA 3,303.83,266.8336556552449,10.12019036,155200810.0,180559417.69858453,-16.33922380855134,no_reduction_needed_or_capex_too_low_already
2015-11-13,FLORESTA I,292.8,235.99708021737564,10.60583402,143892370.0,184446129.6555244,-28.183398227108498,no_reduction_needed_or_capex_too_low_already
2015-11-13,PIRAPORA 4,299.5,234.44314774182067,10.60583402,127738000.0,169243432.32554963,-32.492627350944616,no_reduction_needed_or_capex_too_low_already
2015-11-13,SOBRADO1,299.95,234.4118057167389,10.60583402,118598000.0,157423913.58925942,-32.73741006531258,no_reduction_needed_or_capex_too_low_already
2015-11-13,FLORESTA II,292.8,235.99708021737564,10.60583402,143892370.0,184446129.6555244,-28.183398227108498,no_reduction_needed_or_capex_too_low_already
2015-11-13,COREMAS III,302.8,310.6003514345697,10.60583402,143042000.0,138835652.6976926,2.9406379261387543,solvable_with_capex_reduction
2015-11-13,PIRAPORA 3,299.5,234.44314774182067,10.60583402,127738000.0,169243432.32554963,-32.492627350944616,no_reduction_needed_or_capex_too_low_already
2015-11-13,PIRAPORA 2,301.0,235.2323455805921,10.60583402,128168000.0,170126914.93307954,-32.737434408806834,no_reduction_needed_or_capex_too_low_already
2015-11-13,GUIMARANIA 1,290.0,243.09424223559753,10.60583402,129298000.0,158510761.85172725,-22.593359411380877,no_reduction_needed_or_capex_too_low_already
2015-11-13,BOA HORA 3,291.75,436.894244366779,10.60583402,150195000.0,91768711.6380422,38.900288532879124,solvable_with_capex_reduction
2015-11-13,FLORESTA III,292.81,245.25966086532645,10.60583402,100223590.0,122975967.12676525,-22.701618577787176,no_reduction_needed_or_capex_too_low_already
2015-11-13,FAZENDA ESMERALDA,294.0,382.2390855062141,10.60583402,153719890.0,112168524.79312797,27.030571780185397,solvable_with_capex_reduction
2015-11-13,BRISAS SUAVES,293.0,239.31753854350617,10.60583402,20180000.0,25480396.795493536,-26.265593634754886,no_reduction_needed_or_capex_too_low_already
2015-11-13,GUIMARANIA 2,290.0,236.908685947371,10.60583402,126008000.0,159073107.30739644,-26.240482594276905,no_reduction_needed_or_capex_too_low_already
2015-11-13,PARACATU 1,298.0,228.38033777308556,10.60583402,125916000.0,170861213.42942187,-35.69460070953801,no_reduction_needed_or_capex_too_low_already
2015-11-13,PARACATU 2,298.0,228.05749000057364,10.60583402,125738000.0,170891638.19875595,-35.91089264880621,no_reduction_needed_or_capex_too_low_already
2015-11-13,PARACATU 3,298.0,228.05749000057364,10.60583402,125738000.0,170891638.19875595,-35.91089264880621,no_reduction_needed_or_capex_too_low_already
2015-11-13,PARACATU 4,298.0,228.05749000057364,10.60583402,125738000.0,170891638.19875595,-35.91089264880621,no_reduction_needed_or_capex_too_low_already
2015-11-13,SOL STEELCONS MIRACEMA 1,295.99,581.4308015426079,10.60583402,203655000.0,86585861.74266627,57.48404814874848,solvable_with_capex_reduction
2015-11-13,SOL STEELCONS MIRACEMA 2,296.99,581.4308015426079,10.60583402,203655000.0,86995996.30515578,57.282661213740994,solvable_with_capex_reduction
2015-11-13,SOL STEELCONS MIRACEMA 3,301.49,581.4308015426079,10.60583402,203655000.0,88841601.8363586,56.37642000620726,solvable_with_capex_reduction
2015-11-13,JUAZEIRO SOLAR I,301.02,216.58778396855857,10.60583402,122224000.0,178014473.86001033,-45.646087396919036,no_reduction_needed_or_capex_too_low_already
2015-11-13,JUAZEIRO SOLAR II,301.02,216.58778396855857,10.60583402,122224000.0,178014473.86001033,-45.646087396919036,no_reduction_needed_or_capex_too_low_already
2015-11-13,JUAZEIRO SOLAR IV,301.02,216.58778396855857,10.60583402,122224000.0,178014473.86001033,-45.646087396919036,no_reduction_needed_or_capex_too_low_already
2015-11-13,BJL 4,300.15,245.0699352355732,10.60583402,79481000.0,100397887.28152987,-26.316839598809622,no_reduction_needed_or_capex_too_low_already
2015-11-13,BOA HORA 2,291.75,436.894244366779,10.60583402,150195000.0,91768711.6380422,38.900288532879124,solvable_with_capex_reduction
2015-11-13,JUAZEIRO SOLAR III,301.02,216.58778396855857,10.60583402,122224000.0,178014473.86001033,-45.646087396919036,no_reduction_needed_or_capex_too_low_already
2015-11-13,BOA HORA 1,291.75,436.894244366779,10.60583402,150195000.0,91768711.6380422,38.900288532879124,solvable_with_capex_reduction
2015-11-13,APODI I,300.88,212.64674884976225,10.60583402,120000010.0,178302102.77046525,-48.585073259964936,no_reduction_needed_or_capex_too_low_already
2015-11-13,APODI IV,300.88,212.64673121667616,10.60583402,120000000.0,178302104.42192104,-48.58508701826754,no_reduction_needed_or_capex_too_low_already
2015-11-13,ASSU V,302.99,251.00096284969118,10.60583402,149784370.0,186111593.93596587,-24.25301380642444,no_reduction_needed_or_capex_too_low_already
2015-11-13,APODI III,300.88,212.64673121667616,10.60583402,120000000.0,178302104.42192104,-48.58508701826754,no_reduction_needed_or_capex_too_low_already
2015-11-13,APODI II,300.88,212.64673121667616,10.60583402,120000000.0,178302104.42192104,-48.58508701826754,no_reduction_needed_or_capex_too_low_already
2017-12-18,AGUA VERMELHA IV,145.49,323.82163365728405,10.0147157,87173010.0,30517060.90366095,64.99253507059014,solvable_with_capex_reduction
2017-12-18,AGUA VERMELHA V,145.49,327.9206229667477,10.0147157,174346010.0,59878569.44565421,65.65532561046037,solvable_with_capex_reduction
2017-12-18,AGUA VERMELHA VI,146.66,327.9206229667477,10.0147157,174346010.0,60612694.57920152,65.23425194577064,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 1,146.67,354.97795612472476,10.0147157,243678800.0,74921266.48143071,69.25408920208459,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 2,146.67,354.97795612472476,10.0147157,243678800.0,74921266.48143071,69.25408920208459,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 3,146.67,354.97795612472476,10.0147157,243678800.0,74921266.48143071,69.25408920208459,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 4,146.67,354.97795612472476,10.0147157,243678800.0,74921266.48143071,69.25408920208459,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 5,146.67,354.97795612472476,10.0147157,243678800.0,74921266.48143071,69.25408920208459,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 21,145.99,354.97795612472476,10.0147157,243678800.0,74370374.78757763,69.48016208731427,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 22,145.0,354.97795612472476,10.0147157,243678800.0,73568341.29211502,69.80929761139868,solvable_with_capex_reduction
2017-12-18,SAO GONCALO 10,145.5,354.97795612472476,10.0147157,243678800.0,73973408.71406582,69.6430675487298,solvable_with_capex_reduction
2017-12-18,SOLAR SALGUEIRO,143.7,257.4373914507046,10.0147157,149000000.0,71311121.05188547,52.140187213499686,solvable_with_capex_reduction
2017-12-18,SOLAR SALGUEIRO II,145.98,251.58654164500678,10.0147157,149000000.0,75187378.00500064,49.53867247986535,solvable_with_capex_reduction
2017-12-18,SOLAR SALGUEIRO III,146.66,251.58654164500678,10.0147157,149000000.0,75662657.11342292,49.21969321246784,solvable_with_capex_reduction
