Date,Flat_10YR_Yield,Upward_10YR_Yield,Downward_10YR_Yield,Flat_Inflation,Upward_Inflation,Downward_Inflation,NTNB_Change_Flat,NTNB_Change_Upward,NTNB_Change_Downward,NTNB_Flat_Scenario,NTNB_Upward_Scenario,NTNB_Downward_Scenario,BNDES_Flat,BNDES_Upward,BNDES_Downward,Cost_of_Debt_Flat,Cost_of_Debt_Upward,Cost_of_Debt_Downward,Cost_of_Equity_Flat,Cost_of_Equity_Upward,Cost_of_Equity_Downward,WACC_Flat,WACC_Upward,WACC_Downward,Projected_CAPEX,Projected_OPEX,Inflated_OPEX,Total_Inflated_OPEX,OPEX_Baseline,CAPEX_Baseline,LCOE_Baseline,Discounted_OPEX_Flat,Discounted_OPEX_Upward,Discounted_OPEX_Downward,Discounted_Energy_Flat,Discounted_Energy_Upward,Discounted_Energy_Downward,CAPEX_WACC_Flat,CAPEX_WACC_Upward,CAPEX_WACC_Downward,OPEX_WACC_Flat,OPEX_WACC_Upward,OPEX_WACC_Downward,LCOE_WACC_Flat,LCOE_WACC_Upward,LCOE_WACC_Downward,Financing_Cost_Flat,Financing_Cost_Upward,Financing_Cost_Downward,CAPEX_Percentage_Flat,OPEX_Percentage_Flat,Financing_Percentage_Flat,CAPEX_Percentage_Upward,OPEX_Percentage_Upward,Financing_Percentage_Upward,CAPEX_Percentage_Downward,OPEX_Percentage_Downward,Financing_Percentage_Downward,CAPEX_Baseline_USD,OPEX_Baseline_USD,Financing_Cost_Flat_USD,Financing_Cost_Upward_USD,Financing_Cost_Downward_USD
2024-09-15 20:00:00,11.4,11.696916666666667,11.1025,4.4,4.4,4.4,0.0,0.12767416666666662,-0.12792500000000015,5.973333333333333,5.973333333333333,5.973333333333333,10.373333,10.373333,10.373333,11.873333,11.873333,11.873333,16.143333,16.143333,16.143333,9.497786424,9.497786424,9.497786424,156856597.57834238,2379587.1445280863,"[2474770.6303092097, 2573761.4555215784, 2676711.9137424417, 2783780.3902921393, 2895131.605903825, 3010936.8701399784, 3131374.344945577, 3256629.3187434003, 3386894.4914931366, 3522370.271152862, 3663265.081998977, 3809795.6852789363, 3962187.512690094, 4120675.0131976977, 4285502.013725605, 4456922.09427463, 4635198.978045615, 4820606.937167441, 5013431.214654138, 5213968.463240303, 5422527.201769916, 5639428.289840712, 5865005.421434341, 6099605.638291716, 6343589.863823383]",103064070.70167765,37.535139627885144,57.12596302061485,94.66110264849999,32596077.189471602,32596077.189471602,32596077.189471602,1036730.0000120706,1036730.0000120706,1036730.0000120706,151.2993716556057,151.2993716556057,151.2993716556057,31.441240428165564,31.441240428165564,31.441240428165564,182.74061208377128,182.74061208377128,182.74061208377128,88.07950943527129,88.07950943527129,88.07950943527129,31.260682761874175,20.54011924326839,48.199197994857435,31.260682761874175,20.54011924326839,48.199197994857435,31.260682761874175,20.54011924326839,48.199197994857435,11.232809009850719,7.3806205148079975,17.319275769770613,17.319275769770613,17.319275769770613
2025-06-16 12:00:00,11.4,12.460416666666667,10.3375,4.4,4.795833333333333,4.191666666666667,0.0,0.45597916666666655,-0.456875,5.973333333333333,6.429312499999999,5.516458333333333,10.373333333333333,11.152189166666666,9.781225,11.873333333333333,12.652189166666666,11.281225,16.14333333333333,16.922189166666666,15.551224999999999,9.497786666666665,10.064793713333332,9.066731799999998,147945015.49957326,2336061.313408208,"[2429503.7659445363, 2526683.916582318, 2627751.2732456108, 2732861.3241754356, 2842175.7771424525, 2955862.8082281514, 3074097.320557277, 3197061.2133795684, 3324943.6619147514, 3457941.408391341, 3596259.0647269953, 3740109.427316075, 3889713.8044087184, 4045302.356585067, 4207114.4508484695, 4375399.0288824085, 4550414.990037706, 4732431.589639214, 4921728.853224782, 5118598.007353774, 5323341.927647925, 5536275.604753842, 5757726.6289439965, 5988035.694101756, 6227557.121865827]",101178891.019898,36.848571727961314,53.88043356156435,90.72900528952567,31999850.609585788,30346780.486257873,33351366.46400231,1036729.980153884,992004.1094003561,1073027.2462379527,142.70351811145025,149.1375026551076,137.8762897384669,30.86613797436048,30.59138586089307,31.08156533856212,173.56965608581072,179.72888851600067,168.95785507702902,82.84065079628505,88.99988322647499,78.22884978750335,31.042542099021343,21.229846598154133,47.72761130282452,29.978727407957876,20.502308800891967,49.51896379115015,31.889865988769746,21.809327368154506,46.300806643075745,10.594633115359409,7.245619095412133,16.289146991020694,17.500250977322608,15.382317990967119
2026-06-16 12:00:00,11.4,13.478416666666666,9.3175,4.4,5.175833333333333,3.9916666666666667,0.0,0.8937191666666663,-0.8954750000000001,5.973333333333333,6.867052499999999,5.0778583333333325,10.373333333333333,11.969929166666667,9.142625,11.873333333333333,13.469929166666667,10.642625,16.14333333333333,17.739929166666666,14.912625,9.497786666666665,10.660108433333331,8.601830999999999,140472365.88383275,2298158.2806124813,"[2390084.6118369806, 2485687.99631046, 2585115.5161628784, 2688520.1368093938, 2796060.942281769, 2907903.3799730404, 3024219.515171962, 3145188.2957788403, 3270995.8276099944, 3401835.660714394, 3537909.0871429704, 3679425.4506286895, 3826602.468653837, 3979666.5673999903, 4138853.23009599, 4304407.35929983, 4476583.653671823, 4655646.999818697, 4841872.879811444, 5035547.795003902, 5236969.7068040585, 5446448.4950762205, 5664306.43487927, 5890878.692274442, 6126513.839965419]",99537244.5431763,36.25069674297519,51.15895220722351,87.40964895019869,31480647.033826925,28283516.349871725,34342763.17131933,1036729.980153884,948426.9542055674,1114586.1527610105,135.4956146469133,148.11089590077802,126.0309627352358,30.365329098666738,29.82150204025243,30.812120791422664,165.86094374558004,177.93239794103044,156.84308352665846,78.45129479538136,90.52274899083176,69.43343457645977,30.844483970679697,21.856077702404377,47.29943832691593,28.75190398107172,20.3732974783992,50.874798540529085,32.6179204443708,23.112716179680113,44.269363375949084,10.05950200052553,7.128057567115568,15.426057862587081,17.799695562134016,13.652855343793263
2027-06-16 12:00:00,11.4,14.496416666666667,8.297500000000001,4.4,5.555833333333333,3.7916666666666665,0.0,1.3314591666666662,-1.3340750000000001,5.973333333333333,7.304792499999999,4.639258333333333,10.373333333333333,12.787669166666666,8.504025,11.873333333333333,14.287669166666666,10.004025,16.14333333333333,18.557669166666663,14.274025,9.497786666666665,11.25542315333333,8.136930199999998,134007938.88173254,2264239.444173473,"[2354809.021940412, 2449001.382818029, 2546961.43813075, 2648839.89565598, 2754793.4914822187, 2864985.231141508, 2979584.640387168, 3098768.026002655, 3222718.7470427616, 3351627.496924472, 3485692.596801451, 3625120.3006735095, 3770125.11270045, 3920930.117208468, 4077767.3218968064, 4240878.014772679, 4410513.135363586, 4586933.66077813, 4770411.007209255, 4961227.447497626, 5159676.545397531, 5366063.607213432, 5580706.15150197, 5803934.397562049, 6036091.773464531]",98068160.56156743,35.7156676877539,48.80465775246205,84.52032544021594,31016019.803081986,26442770.962697774,35455210.38482028,1036729.980153884,907997.9843767459,1158848.4608242484,129.26021379437822,147.58616339188927,115.63888067506029,29.91716299983744,29.122059098895708,30.595208591468666,159.17737679421566,176.70822249078498,146.23408926652897,74.65705135399972,92.18789705056903,61.71376382631303,30.660549090186766,22.43765314334026,46.90179776647298,27.618781437862705,20.21166145203934,52.16955711009796,33.37433699437193,24.42362643819517,42.2020365674329,9.596571687145206,7.022853577996771,14.67998708040108,18.12711744071841,12.134918794976793
2028-06-16 08:00:00,11.4,15.514416666666664,7.2775,4.4,5.935833333333334,3.591666666666667,0.0,1.769199166666666,-1.7726750000000002,5.973333333333333,7.7425324999999985,4.200658333333332,10.373333333333333,13.605409166666666,7.865424999999999,11.873333333333333,15.105409166666666,9.365424999999998,16.14333333333333,19.375409166666664,13.635424999999998,9.497786666666665,11.850737873333332,7.672029399999998,128236175.03690629,2232995.3342933143,"[2322315.147665047, 2415207.753571649, 2511816.063714515, 2612288.7062630956, 2716780.2545136195, 2825451.4646941647, 2938469.523281931, 3056008.304213208, 3178248.636381737, 3305378.5818370064, 3437593.7251104866, 3575097.4741149065, 3718101.373079503, 3866825.428002683, 4021498.44512279, 4182358.3829277023, 4349652.718244811, 4523638.826974603, 4704584.380053587, 4892767.755255731, 5088478.46546596, 5292017.604084599, 5503698.308247983, 5723846.240577903, 5952800.090201018]",96714923.65360025,35.222829243237385,46.702625877146204,81.92545512038359,30588031.52946262,24784922.08448889,36680437.620871805,1036729.980153884,870429.9790675732,1206039.1806487255,123.69293595413525,147.325090036853,106.32836569034878,29.50433778805391,28.47434334814517,30.413968475834665,153.19727374218917,175.79943338499817,136.74233416618344,71.27181862180558,93.87397826461458,54.81687904579985,30.485285238000102,22.99181204915746,46.52290271284244,26.565856884685257,20.035803622927446,53.3983394923873,34.15374336113668,25.75854029259948,40.087716346263846,9.18324434280756,6.925945625338394,14.014341011188913,18.458655453401647,10.778768536739678
2029-06-16 12:00:00,11.4,16.532416666666666,6.2575,4.4,6.315833333333333,3.391666666666667,0.0,2.206939166666666,-2.211275,5.973333333333333,8.1802725,3.7620583333333326,10.373333333333333,14.423149166666663,7.226824999999999,11.873333333333333,15.923149166666663,8.726824999999998,16.14333333333333,20.193149166666664,12.996824999999998,9.497786666666665,12.44605259333333,7.207128599999997,123538011.0358529,2206844.4545111214,"[2295118.2326915665, 2386922.961999229, 2482399.8804791984, 2581695.875698366, 2684963.7107263007, 2792362.2591553535, 2904056.7495215675, 3020219.01950243, 3141027.7802825277, 3266668.8914938285, 3397335.647153582, 3533229.0730397254, 3674558.2359613148, 3821540.5653997674, 3974402.188015758, 4133378.2755363886, 4298713.406557844, 4470661.942820159, 4649488.420532965, 4835467.957354283, 5028886.675648455, 5230042.142674393, 5439243.828381369, 5656813.581516624, 5883086.124777289]",95582283.42692028,34.8103304086081,44.99159078437675,79.80192119298485,30229811.374222554,23315704.073644552,38071835.675214075,1036729.980153884,835465.8614515665,1256405.0924496315,119.16122172671797,147.86721604783924,98.32657618013073,29.15880890194328,27.90742883633218,30.302197837311258,148.32003062866124,175.7746448841714,128.628774017442,68.5181094356764,95.97272369118656,48.82685282445715,30.33412991736708,23.469743271399636,46.196126811233285,25.596177886762018,19.80395433684235,54.59986777639563,34.97785866969074,27.062630950589515,37.959510379719745,8.846799591770353,6.844835034266088,13.47287286394213,18.871336575792064,9.60093595501043
